figure_id,title,evidence_role,interpretation_boundary,png_path,pdf_path
Figure14_did_robustness_specifications,DiD robustness specifications,robustness,Specifications remain associational when identifying assumptions are weak.,data/gold/figures/Figure14_did_robustness_specifications.png,data/gold/figures/Figure14_did_robustness_specifications.pdf
Figure15_scm_leave_one_out_sensitivity,SCM leave-one-donor-out sensitivity,assumption_diagnostic,Assesses dependence on the largest donor weights.,data/gold/figures/Figure15_scm_leave_one_out_sensitivity.png,data/gold/figures/Figure15_scm_leave_one_out_sensitivity.pdf
Figure16_four_year_scope_threshold,Four-year scope classification,design_diagnostic,Scope requires all four years and at least two years above EUR 750m.,data/gold/figures/Figure16_four_year_scope_threshold.png,data/gold/figures/Figure16_four_year_scope_threshold.pdf
Figure17_pre_policy_exposure_distribution,Pre-policy exposure distribution,design_diagnostic,"Exposure is a constructed proxy, not observed top-up tax.",data/gold/figures/Figure17_pre_policy_exposure_distribution.png,data/gold/figures/Figure17_pre_policy_exposure_distribution.pdf
Figure18_exposure_event_study,Continuous exposure event study,main_model,Conditional short-window association; concurrent news remains possible.,data/gold/figures/Figure18_exposure_event_study.png,data/gold/figures/Figure18_exposure_event_study.pdf
Figure19_propensity_common_support,Propensity common support,assumption_diagnostic,Shows whether treated and controls are comparable on observed covariates.,data/gold/figures/Figure19_propensity_common_support.png,data/gold/figures/Figure19_propensity_common_support.pdf
Figure20_weighted_covariate_balance,Weighted covariate balance,assumption_diagnostic,Weighting addresses observed covariates only.,data/gold/figures/Figure20_weighted_covariate_balance.png,data/gold/figures/Figure20_weighted_covariate_balance.pdf
Figure21_weighted_did_pretrend,Weighted DiD pretrend,assumption_diagnostic,Failure to reject does not prove parallel trends.,data/gold/figures/Figure21_weighted_did_pretrend.png,data/gold/figures/Figure21_weighted_did_pretrend.pdf
Figure22_modern_method_applicability_matrix,Modern method applicability,design_diagnostic,Shows which modern estimators are supported by current data and which remain not applicable.,data/gold/figures/Figure22_modern_method_applicability_matrix.png,data/gold/figures/Figure22_modern_method_applicability_matrix.pdf
Figure23_treatment_timing_cohort_support,Treatment-timing cohort support,design_diagnostic,Current proxy has one implementation cohort and no firm-jurisdiction staggered exposure.,data/gold/figures/Figure23_treatment_timing_cohort_support.png,data/gold/figures/Figure23_treatment_timing_cohort_support.pdf
Figure24_gsynth_balanced_panel_attrition,gsynth balanced-panel attrition,design_diagnostic,Documents sample attrition before interpreting any generalized synthetic-control output.,data/gold/figures/Figure24_gsynth_balanced_panel_attrition.png,data/gold/figures/Figure24_gsynth_balanced_panel_attrition.pdf
Figure25_honestdid_preperiod_support,HonestDiD pre-period support,design_diagnostic,HonestDiD requires credible event-study coefficients; this chart reports input support only.,data/gold/figures/Figure25_honestdid_preperiod_support.png,data/gold/figures/Figure25_honestdid_preperiod_support.pdf
Figure26_grf_sample_and_covariate_support,GRF sample and covariate support,heterogeneity_diagnostic,GRF results are diagnostics because treatment proxy and overlap limitations remain.,data/gold/figures/Figure26_grf_sample_and_covariate_support.png,data/gold/figures/Figure26_grf_sample_and_covariate_support.pdf
Figure27_restricted_sample_did_comparison,Restricted-sample DiD comparison,diagnostic_sensitivity,Restricted overlap estimates are not promoted to the main causal result.,data/gold/figures/Figure27_restricted_sample_did_comparison.png,data/gold/figures/Figure27_restricted_sample_did_comparison.pdf
Figure28_event_confound_screen,Event confound screen,event_diagnostic,High-volatility flags are diagnostics only and do not delete policy events.,data/gold/figures/Figure28_event_confound_screen.png,data/gold/figures/Figure28_event_confound_screen.pdf
Figure29_cbcr_low_tax_context,CbCR low-tax context,context,CbCR jurisdiction context does not create firm-level Pillar Two treatment exposure.,data/gold/figures/Figure29_cbcr_low_tax_context.png,data/gold/figures/Figure29_cbcr_low_tax_context.pdf
